ncons,Id IMDb,Identité,Photo de profil,Connu pour ces Films,Popularité,Biographie,Année de naissance,Lieu de naissance,Année de décès,Métier,Profession Primaire,Profession Secondaire,Profession Tertiaire
nm0668994,1104994.0,Oscar Pearce,/z6OOMofeqYdq6TlamNXlILm9wPR.jpg,"tt0458339,tt0120804,tt3910804,tt0484881",0.4554,Inconnu,Inconnu,Zambia,Inconnu,actor,actor,Inconnu,Inconnu
nm0152002,,Thomas A. Chantler,,tt0120913,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0971140,12076.0,Clive Pearse,/aRwEqA2YmmymjuJ0lheFKLE6gwU.jpg,"tt0126029,tt12494574,tt29455005,tt0415415",0.1973,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0156958,,Elijah Chiang,,"tt0138749,tt12494574",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0716854,3235.0,Chris Rehmann,,"tt0146882,tt0115163,tt0278255,tt2056709",0.0459,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0888625,1673119.0,Al Vandecruys,,"tt0164184,tt0338751,tt0319262,tt0348836",0.071,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1404026,1335620.0,Chung Chan,,tt0165982,0.0436,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0601214,,Frank B. Moore,,tt0175142,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0334175,1237731.0,Kyle Graham,,"tt0175142,tt0118480,tt0108757,tt0228878",0.062,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0168044,157609.0,Richard Coca,/qevgolgHKGKOHxvns3BvAvLV5c1.jpg,"tt0236493,tt0181689,tt0117979,tt0103671",0.8589,Inconnu,Inconnu,"Los Angeles, California, USA",Inconnu,actor,actor,Inconnu,Inconnu
nm0269188,554596.0,Marc Faure,/tSEQI93N2kyDlreaapsBlRtySmB.jpg,"tt0344510,tt0157016,tt0183869,tt2976920",0.1352,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1045521,554597.0,Haruhiko Hirata,/my8pIemyGIoVy16IL0FNd9Qt5zG.jpg,"tt0281364,tt0183869,tt2298384,tt1570540",0.2068,Inconnu,1947-03-03,"Tokyo, Japan",Inconnu,actor,actor,Inconnu,Inconnu
nm0191284,554279.0,Cui Ya Hui,,tt0184894,0.0286,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0391922,137417.0,Lee Holmes,,"tt0235737,tt0112454,tt0126261,tt0164114",0.3096,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0118473,,Jason Buckham,,"tt0208092,tt0120825,tt0451195",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0134774,,Mickey Cantwell,,"tt0208092,tt14908940",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm2318609,,Richard Weigand,,tt0208993,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm2320884,,Steven Z. Soszynski,,tt0208993,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm2314318,,Bobby Grossman,,tt0208993,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0405726,146319.0,Christophe Hémon,/6POuedUqHuiwWrxJSPQnQPBiQuR.jpg,"tt0100112,tt0216750,tt0450615,tt0113904",0.0596,Christophe Hémon est un acteur français.,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0240711,64545.0,Raphaël Defour,/lYGeCdFIPoosLvRULGx0A9PTp8a.jpg,,0.0789,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0176617,1717006.0,Colum Convey,/6ufQxKqzUGxehoAno6b7b68GauV.jpg,"tt0374163,tt0158414,tt6964748,tt0108858",0.232,Inconnu,Inconnu,"Belfast, Northern Ireland",Inconnu,actor,actor,Inconnu,Inconnu
nm0187288,37702.0,Ian Cregg,,"tt0119683,tt0419420,tt0218182,tt0166013",0.2319,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0422514,189445.0,Robert Jezek,/rFoshC4TeLkwJK8RqTrKnhVTAwG.jpg,"tt0119081,tt0227984,tt0381061,tt4003440",0.0772,Inconnu,1955-04-06," Toronto, Ontario, Canada",Inconnu,actor,actor,Inconnu,Inconnu
nm0841947,185399.0,Aaron Swartz,,"tt0227984,tt0137494,tt0131332,tt0264310",0.6953,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0785152,1110451.0,Charly Sergue,/yp9W5OSkJ2XS2vwAjMxn0O9Eo2E.jpg,"tt0228242,tt0293482,tt0216983,tt0216727",0.0281,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0308984,1170747.0,Philippe Garziano,,"tt0231172,tt0228242,tt0201833,tt0234767",0.0746,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0536924,2429485.0,Didier Mahieu,,"tt0216787,tt0228242,tt1474255,tt6486764",0.0239,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0270377,1389715.0,Arno Feffer,/a5fXaE6QVQuHmptlMbujO5RokRw.jpg,"tt7476116,tt0228242,tt0120337,tt0156479",0.0475,Inconnu,1958-06-06,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0901240,588441.0,François Voisin,,"tt0077161,tt0182570,tt0229664,tt28772297",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9344394,,Gabriella Biemforde,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0214916,1193431.0,Wayne Dehart,/lvSDWQ0TpkhsTmk9obaZLIxU0j2.jpg,"tt4364194,tt0100502,tt1276104,tt0099817",0.2406,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm4024563,,Milo Frank,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1312065,1733317.0,Kevin Linell,,"tt3205802,tt4094300,tt7146326,tt0092325",0.0495,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9344392,,Donna Neuwirth,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9344406,,Jay Lamont Pope,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1200557,,Christian Pernet,,"tt0234663,tt0169509",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1199928,,Romain R'Bibo,,tt0234663,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1199256,,Samir Fouzari,,tt0234663,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
