tconst,Id_TMDB,Titre,Titre Original,Date de sortie,Durée,Id des genres,Genre Principal,Genre secondaire,Genre tertiaire,Genres,Mots clés,Budget,Recettes,Pays d'origine,Langue Originale,Moyenne des votes,Nombre de votants,Popularité,Résumé,Slogan,Affiche du film,Arrière plan film,Société de production,Pays d'origine de la production,URL complète,Résolution,Type de vidéo,Officiel,Date de mise en ligne,Id Youtube
tt0235108,134270,À l'attaque !,À l'attaque !,2000-04-12,90,"[35, 18]",Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]",Non renseigné,0,0,['FR'],fr,5.781,16,1.1422,"Deux scénaristes tentent d'écrire ensemble un film politique. Cependant leur vision est différente. Entre les deux amis, les discussions vont bon train sur l'orientation de l'histoire du garage ""Moliterno & Cie"". Gigi et Jean-Do réparent les automobiles, Lola les nettoie et Marthe tient la comptabilité. Le grand-père chante des chansons révolutionnaires à l'enfant de Lola, Vanessa et Mouloud font les marchés. Tout ce beau monde travaille très dur pour s'en sortir. Malgré leurs efforts, l'entreprise familiale est menacée par les factures impayées d'une multinationale.",Un conte de l'Estaque,/7FWlEyOqBUedtBdexnAsa2MZPAP.jpg,Non renseigné,"[{'id': 207, 'logo_path': '/uskenzq65wJe0cT0D8StQI3hJnO.png', 'name': 'Agat Films & Cie / Ex Nihilo', 'origin_country': 'FR'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 744, 'logo_path': '/uM3Vrs3TZJJJTyCAPy4zir9IQeC.png', 'name': 'Diaphana Films', 'origin_country': 'FR'}, {'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",https://www.youtube.com/watch?v=TAy0qbYEmM4,360.0,Trailer,False,2011-07-08 15:41:57+00:00,63bef49535818f0081cada75
tt0239695,81852,Nationale 7,Nationale 7,2000-12-06,90,"[35, 18]",Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]","{549: 'prostitute', 5867: 'caravan', 6951: 'biker', 158558: 'disabled'}",0,0,['FR'],fr,5.7,10,4.7476,"Dans un foyer pour handicapés près de Toulon, René est unanimement détesté de tous. Myopathe de cinquante ans, il possède un caractère irascible et rebelle. Mais ses provocations ne résistent pas à la candeur et à la droiture de Julie, une éducatrice spécialisée débutante. Il lui avoue qu'il veut faire l'amour avec une femme avant que sa maladie évolutive ne le rattrape définitivement. Julie se met en quête d'une de ces prostituées qui œuvrent en camping-car le long de la nationale 7.",Non renseigné,/y50LVIWmLTvMBAaxSqcKDgRuoKG.jpg,Non renseigné,"[{'id': 11332, 'logo_path': None, 'name': 'La Sept-Arte', 'origin_country': 'FR'}, {'id': 94, 'logo_path': '/huC7HqorvUThGIrENrbcHmQVUA0.png', 'name': 'ARTE France Cinéma', 'origin_country': 'FR'}, {'id': 1149, 'logo_path': '/77ItqirEXrWipFsW4k235t2NeSk.png', 'name': 'Télécip', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0240009,72918,Le soleil au-dessus des nuages,Le soleil au-dessus des nuages,2001-05-02,96,[35],Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}]",Non renseigné,0,0,['FR'],fr,5.0,3,0.1237,"Jean, petit employé de bureau aigri et insupportable, est licencié à cause de son comportement odieux. La cinquantaine célibataire et revancharde, il n'a aucun ami et se retrouve seul face à lui même, sans aucun avenir. Il fait alors la connaissance d'Antoine, un jeune magicien adepte de la méditation. Intrigué par cet étrange personnage qui répond à son agressivité par une vision résolument optimiste de la vie, Jean décide de l'accompagner à La Baule. Sur le chemin, malgré quelques imprévus et quelques rencontres surprenantes, le duo va apprendre à se connaître.",Non renseigné,/8gzVeJWS7FJAihZYKv6Chips4Xf.jpg,/3HLhu2hUx0TIsaxAHvc5nCHX1hl.jpg,"[{'id': 60804, 'logo_path': '/eyXvY18fl5I1JQjBAsyE7vwYc9h.png', 'name': ""Les Films d'Avalon"", 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",https://www.youtube.com/watch?v=booXupy5XYI,480.0,Trailer,False,2020-01-08 16:13:47+00:00,62c327073a48c5004cbfa215
tt0240149,33302,Une hirondelle a fait le printemps,Une hirondelle a fait le printemps,2001-09-05,103,"[18, 35]",Comedy,Drama,Non renseigné,"[{'id': 18, 'name': 'Drame'}, {'id': 35, 'name': 'Comédie'}]",Non renseigné,0,0,['FR'],fr,6.416,83,5.7284,"Sandrine est formatrice en informatique dans la région parisienne. Mais elle ne supporte pas sa vie et décide de se consacrer à l'agriculture. Après une formation, elle arrive dans le massif du Vercors pour s'occuper d'une ferme qu'elle veut acheter au vieux bougon Adrien. Leurs caractères vont faire des étincelles.",Non renseigné,/aQIaPrxWCVbH0dUy3iOuWiEyoj9.jpg,/fd5pMzskKtWWxAHL5CscgEuvzn4.jpg,"[{'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}, {'id': 5281, 'logo_path': None, 'name': 'Cofimage 12', 'origin_country': ''}, {'id': 11773, 'logo_path': '/8fCjsqh43LbPV6pm3SfR5Jx64GU.png', 'name': 'Artémis Productions', 'origin_country': 'BE'}, {'id': 5762, 'logo_path': None, 'name': 'M.S. Productions', 'origin_country': ''}, {'id': 819, 'logo_path': '/cEqVIluQuO1ubtID8RvOem4ZiIg.png', 'name': 'Mars Films', 'origin_country': 'FR'}, {'id': 311, 'logo_path': '/TNGvZ8zOklntjPP3EcsHtrR8Rc.png', 'name': 'PROCIREP', 'origin_country': 'FR'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 57752, 'logo_path': '/2k3j1B8TEbZPQgckP6zh75pIb4s.png', 'name': 'Nord-Ouest Films', 'origin_country': 'FR'}, {'id': 109756, 'logo_path': '/sudlIoNIIrKmVWaYD2ZVo9HGogW.png', 'name': 'Auvergne-Rhône-Alpes Cinéma', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0244071,77280,"Mercredi, folle journée !","Mercredi, folle journée !",2001-03-28,127,"[18, 35]",Comedy,Drama,Non renseigné,"[{'id': 18, 'name': 'Drame'}, {'id': 35, 'name': 'Comédie'}]",Non renseigné,0,0,['FR'],fr,5.341,22,3.3787,"Le mercredi est le jour où les enfants n'ont pas école et restent à la maison. C'est aussi celui où les parents n'y sont pas. À Nantes, au printemps, une vingtaine de mioches âgés de 3 à 11 ans, insouciants et turbulents, profitent de cette journée pour sévir et faire tourner leurs parents en bourrique. Emma, 9 ans, d'un naturel romanesque, décide que Roland, le petit garçon rencontré dans la rue, est malheureux et persuade ses amies de l'adopter. Victoria passe la journée avec Martin Socoa, un père souvent lointain qu'elle apprend à aimer. Il y a aussi Muriel, Bruno, Colette et Henri qui prennent le large et créent la panique chez leurs parents, tandis que Marylin vit le drame fondateur de son enfance auprès d'une mère d'une douceur irréelle. Au fil de ces petites histoires, on s'aperçoit que le monde des enfants a sa propre logique, totalement différente de celle des adultes.",Non renseigné,/lZk9YrVWDjtDnkAqSsNJBHb61FK.jpg,Non renseigné,"[{'id': 46596, 'logo_path': None, 'name': 'Euripide Productions', 'origin_country': ''}, {'id': 356, 'logo_path': '/9tW5wZEGotn1Ei5pErA88m47XiD.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0246158,64346,Les Portes de la gloire,Les portes de la gloire,2001-06-13,89,"[18, 35]",Comedy,Drama,Non renseigné,"[{'id': 18, 'name': 'Drame'}, {'id': 35, 'name': 'Comédie'}]",Non renseigné,0,0,['FR'],fr,5.1,32,1.9536,"Le futur gendre du patron de Pégase, petite société de vente à domicile, est débarqué par son beau-père au sein d'une équipe de vendeurs du nord de la France. Il tente de s'intégrer et devient le témoin, adepte malgré lui, des méthodes peu orthodoxes de ces mercenaires du porte-à-porte. Régis Demanet, chef de secteur, opiniâtre et méritant, voit en la venue de Jérôme une opportunité de réaliser ses ambitions au sein de Pégase. Dans sa quête du pouvoir, il est guidé par son mentor, l'emblématique colonel Nicholson, l'officier entêté du «Pont de la rivière Kwaï».",Non renseigné,/tdCgYqpsAgSMDrjlGPWzkK80P1s.jpg,/oxrXRX3s9LFOrMjMfKmU1LNw96l.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0256666,125844,Ce vieux rêve qui bouge,Ce vieux rêve qui bouge,2001-03-31,50,"[35, 18]",Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]","{1382: 'factory', 2335: 'southern france', 11004: 'rural area', 11190: 'sexual attraction', 258533: 'gay theme'}",0,0,['FR'],fr,6.1,17,2.4989,"Dans une usine sur le point de fermer et dans laquelle il ne reste plus qu’une poignée d’ouvriers, un jeune technicien vient démonter une dernière machine. Tandis qu’il travaille, les ouvriers attendent la fin de la semaine en bavardant et en se promenant…
 Mais attention, ils ne font pas que cela non plus. Parce que dans cette usine, il s’en passe de drôles de choses…",Non renseigné,/AeEmHN3GWiPRmOatyVezlvWaLL3.jpg,/s1ENb0eZ8FGLKqNjsTlehV2ORMk.jpg,"[{'id': 14295, 'logo_path': None, 'name': 'K Production', 'origin_country': 'FR'}, {'id': 76932, 'logo_path': None, 'name': 'Paulo Films', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0259289,190386,Du soleil pour les gueux,Du soleil pour les gueux,2001-03-07,58,"[35, 18]",Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]",Non renseigné,0,0,['FR'],fr,6.0,14,0.1161,"Par une matinée d’été, Nathalie Sanchez arrive sur un grand causse à la recherche de bergers d’ounayes. Elle rencontre l’un d’eux, Djema Gaouda Lon, il a perdu ses ounayes et il les cherche en vain. La jeune fille lui propose de l’aider à les retrouver… Les voilà donc partis à sillonner le grand causse… Et tous deux de bavarder…",Non renseigné,/aKt2urWc9Fi9snHz2prDmK823og.jpg,/5XHxUuLEjX5vDontGeZtny5Sh3n.jpg,"[{'id': 14295, 'logo_path': None, 'name': 'K Production', 'origin_country': 'FR'}, {'id': 14296, 'logo_path': None, 'name': 'LMK', 'origin_country': ''}, {'id': 14297, 'logo_path': None, 'name': 'Les Films du Temps qui passe', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0269771,67384,Reines d'un jour,Reines d'un jour,2001-10-24,94,"[35, 18]",Comedy,Drama,Non renseigné,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]",{187056: 'woman director'},0,0,['FR'],fr,6.1,17,1.5738,"Il y a des journées comme ça où rien ne va. Quatre individus subissent toute une série de contrariétés d'ampleur diverse. Pour Marie Larue, 24 ans, apprentie photographe travaillant dans un photo-shop, la journée commence par la découverte d'un résultat de test de grossesse positif. Suivent en vrac : un vol de scooter, un accrochage en voiture, un licenciement abusif... Pour Luis Del Sol, la quarantaine, aimable conducteur du bus 67, le fait marquant de la journée est l'arrivée surprise de sa femme Michèle venue lui annoncer qu'elle le quittait. Hortense Lassalle, orthophoniste de 33 ans, mariée depuis dix ans à Antoine et mère de deux enfants, a décidé de passer la nuit avec un homme pendant que son époux est parti en voyage d'affaires. Mais aucun amant ne se présente à elle. Maurice Degombert, la soixantaine, cuisinier acariâtre au chômage, prépare un dîner aux chandelles pour Marlène, son grand amour de jeunesse parti avec un autre depuis 22 ans.",Non renseigné,/vSxMPNFc0KtCKSrSzTKPzfNGW7e.jpg,/mfVFtJ5aY9Q1MoxSRXAB69Mg0qi.jpg,"[{'id': 2901, 'logo_path': None, 'name': 'ADR Productions', 'origin_country': 'FR'}, {'id': 591, 'logo_path': '/q5I5RDwMEiqoNmfaJgd2LraEOJY.png', 'name': 'France 3 Cinéma', 'origin_country': 'FR'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
tt0304601,78994,Quand tu descendras du ciel,Quand tu descendras du ciel,2003-03-19,95,[18],Comedy,Drama,Non renseigné,"[{'id': 18, 'name': 'Drame'}]",Non renseigné,0,0,['FR'],fr,0.0,0,0.2293,"Fin novembre, Jérôme, qui maintient difficilement en vie l'exploitation familiale, quitte sa mère et sa campagne pour chercher un emploi à la ville. Il trouve un travail aux services techniques de la mairie : aider Lucien, employé municipal d'une quarantaine d'années, à accrocher les guirlandes lumineuses à l'approche des fêtes de fin d'année. Mais très vite, la municipalité fait appliquer des arrêtés anti-mendicité et Jérôme découvre que La Chignole, un clochard avec qui il s'est lié d'amitié, fait partie du convoi.",Non renseigné,/tek6Bxbuaj6aMu7AgD7UJKnZRBm.jpg,Non renseigné,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",Non renseigné,,Non renseigné,Non renseigné,,Non renseigné
